province,met_stn,2011_cum_rf,2011_day_rf,2012_cum_rf,2012_day_rf,2013_cum_rf,2013_day_rf,2014_cum_rf,2014_day_rf,2015_cum_rf,2015_day_rf
Aceh,Sultan Iskandar Muda,1 268.00, 150.00,1 098.00, 137.00,1 623.60, 151.00,2 264.40, 142.00,1 575.00, 146.00
Sumatera Utara,Kualanamu1,2 042.00, 225.00,3 175.00, 227.00,2 627.00, 218.00,2 148.00, 200.00, 975.90, 105.00
Sumatera Barat,Sicincin,,,4 339.00, 230.00,4 627.40, 232.00,2 838.40, 163.00,3 548.00, 185.00
Riau,Sultan Syarif Kasim II,2 405.00, 211.00,2 636.00, 217.00,2 628.70, 214.00,2 343.70, 188.00,2 048.30, 140.00
Jambi,Sultan Thaha2,2 295.00, 209.00,1 874.00, 191.00,2 093.60, 229.00,1 781.00, 199.00,1 694.90, 135.00
Sumatera Selatan,Kenten,2 593.00, 217.00,3 083.00, 194.00,3 409.20, 238.00,1 668.30, 176.00,1 947.20, 138.00
Bengkulu,Pulau Baai,,,2 545.00, 143.00,3 980.90, 250.00,3 323.00, 174.00,2 668.90, 166.00
Lampung,Radin Inten II,1 568.00, 118.00,1 685.00, 143.00,2 456.70, 198.00,1 682.50, 178.00,1 628.10, 151.00
Kepulauan Bangka Belitung,Depati Amir,2 921.00, 213.00,2 018.00, 195.00,2 839.20, 243.00,1 675.00, 179.00,1 534.70, 163.00
Kepulauan Riau,Kijang,3 893.00, 205.00,3 253.00, 202.00,3 389.40, 227.00,3 064.00, 174.00,2 250.90, 174.00
DKI Jakarta,Kemayoran3,1 274.00,,1 570.00, 139.00,2 524.60, 172.00,2 908.00, 157.00,2 169.50, 121.00
Jawa Barat,Bandung,1 789.00, 215.00,2 510.00, 219.00,2 682.00, 240.00,2 388.00, 226.00,2 199.30, 177.00
Jawa Tengah,Semarang,1 879.00, 174.00,2 248.00, 164.00,2 628.00, 187.00,2 628.00, 187.00,1 620.70, 140.00
DI Yogyakarta,Yogyakarta,2 285.00, 170.00,2 014.00, 163.00,2 309.00, 149.00,2 025.90, 160.00,2 045.50, 119.00
Jawa Timur,Juanda,1 790.00,,1 389.00,,2 270.00, 181.00,1 980.20, 154.00,2 024.70, 133.00
Banten,Serang,1 141.00, 165.00,1 197.00, 171.00,3 573.00, 206.00,1 521.00, 176.00,1 310.10, 155.00
Bali,Ngurah Rai,1 890.00, 174.00,1 849.00, 132.00,2 155.10, 157.00,1 640.60, 160.00,1 133.80, 124.00
Nusa Tenggara Barat,Bandara Int. Lombok,,,2 137.00, 153.00,2 098.90, 160.00,1 563.90, 106.00,1 147.90, 91.00
Nusa Tenggara Timur,Lasiana,1 699.00, 140.00,1 211.00, 88.00,2 149.00, 126.00,1 415.60, 103.00,1 406.00, 82.00
Kalimantan Barat,Supadio,3 129.00, 196.00,3 081.00, 218.00,3 382.00,,2 755.10, 217.00,2 757.70, 215.00
Kalimantan Tengah,Tjilik Riwut,3 434.60, 218.00,2 596.00, 210.00,3 259.50, 241.00,2 853.90, 175.00,2 748.40, 155.00
Kalimantan Selatan,Banjarbaru,2 751.00, 195.00,2 486.00, 225.00,3 006.00, 243.00,2 371.00, 221.00,2 509.60, 166.00
Kalimantan Timur,Temindung,2 990.00, 231.00,2 421.00, 231.00,2 854.10, 259.00,2 422.30, 146.00,2 069.40, 186.00
Kalimantan Utara,Tanjung Harapan,,,,,3 154.00, 248.00,2 654.60, 217.00,2 311.50, 202.00
Sulawesi Utara,Kayuwatu,3 031.00, 276.00,3 013.00, 230.00,3 719.80, 265.00,2 835.00, 229.00,1 807.00, 127.00
Sulawesi Tengah,Mutiara SIS Al-Jufrie, 667.00,, 760.00,, 905.70,, 705.10, 167.00, 460.90, 68.00
Sulawesi Selatan,Maros4,3 465.00, 176.00,2 493.00, 191.00,3 973.00, 213.00,2 739.00, 190.00,3 382.00, 155.00
Sulawesi Tenggara,Kendari,1 511.00, 121.00,,,2 618.80, 206.00,2 263.60, 172.00,1 589.60, 141.00
Gorontalo,Djalaluddin,2 272.00, 215.00,1 775.00, 207.00,1 775.00, 207.00,1 404.30, 152.00, 870.60, 76.00
Sulawesi Barat,Majene,1 660.00, 175.00,1 087.00, 165.00,1 682.20, 198.00,1 096.80, 153.00,1 167.90, 93.00
Maluku,Pattimura,3 988.00, 257.00,5 041.00, 226.00,,,2 593.00, 229.00,1 987.20, 167.00
Maluku Utara,Sultan Babullah,2 962.00, 239.00,,,2 713.00, 215.00,1 811.00, 183.00, 913.40, 127.00
Papua Barat,Rendani,2 681.00, 246.00,3 290.00, 256.00,3 419.10, 251.00,2 824.60, 231.00,2 844.60, 218.00
Papua,Angkasapura,2 226.00, 196.00,1 916.00, 219.00,4 033.00, 251.00,2 731.00, 202.00,1 265.90, 168.00