province,met_stn,2011_min_temp,2011_mean_temp,2011_max_temp,2012_min_temp,2012_mean_temp,2012_max_temp,2013_min_temp,2013_mean_temp,2013_max_temp,2014_min_temp,2014_mean_temp,2014_max_temp,2015_min_temp,2015_mean_temp,2015_max_temp
Aceh,Sultan Iskandar Muda,22.4,27.1,34.4,22.6,26.9,34.6,22.0,27.0,33.7,22.0,27.1,34.2,19.8,27.1,36.7
Sumatera Utara,Kualanamu1,21.7,27.2,36.0,21.0,27.3,36.9,21.6,28.8,36.4,20.0,27.9,35.2,18.6,27.4,36.8
Sumatera Barat,Sicincin,15.6,,34.2,21.5,25.2,31.5,22.7,25.1,,18.2,25.7,35.5,19.8,26.5,32.9
Riau,Sultan Syarif Kasim II,19.9,27.0,35.8,23.1,27.3,33.8,21.2,26.0,36.2,21.4,27.2,35.9,20.6,27.2,35.2
Jambi,Sultan Thaha2,21.0,26.9,34.8,20.6,26.7,34.4,21.0,26.8,34.9,21.0,27.2,34.3,21.0,27.0,35.2
Sumatera Selatan,Kenten,23.4,27.3,34.6,23.7,27.4,34.6,20.4,27.3,34.1,26.0,24.2,34.8,22.1,27.7,37.2
Bengkulu,Pulau Baai,,,,22.5,26.9,32.1,21.0,26.7,34.2,23.5,26.9,32.1,18.8,27.0,35.2
Lampung,Radin Inten II,21.0,26.8,34.3,21.2,26.8,34.1,22.9,26.7,33.3,23.5,25.8,34.5,20.2,27.1,37.2
Kepulauan Bangka Belitung,Depati Amir,23.3,27.4,32.3,23.3,27.0,32.6,23.8,27.0,32.0,23.1,27.2,32.6,20.6,27.3,34.4
Kepulauan Riau,Kijang,21.0,26.8,32.6,22.2,26.8,33.2,22.4,26.8,33.7,19.0,27.1,33.6,21.6,27.0,33.6
DKI Jakarta,Kemayoran3,23.4,28.5,35.4,24.4,28.1,34.0,22.4,28.2,35.8,25.0,28.4,32.6,22.7,28.4,35.2
Jawa Barat,Bandung,18.2,23.4,30.4,17.4,23.4,30.9,18.5,23.5,30.1,18.3,23.4,30.9,15.0,23.5,34.0
Jawa Tengah,Semarang,23.7,27.7,34.1,23.1,28.0,34.0,24.6,28.0,32.1,24.6,28.0,32.1,20.6,28.5,39.5
DI Yogyakarta,Yogyakarta,20.2,26.0,33.6,17.0,26.6,34.0,18.4,26.2,35.7,21.1,26.3,32.7,18.0,26.1,35.5
Jawa Timur,Juanda,20.0,,34.8,20.6,28.0,35.4,20.6,27.9,35.8,21.0,28.0,35.0,20.5,28.0,35.6
Banten,Serang,22.1,27.0,33.1,21.9,27.1,33.5,22.7,27.0,32.9,22.2,27.3,34.1,19.0,27.3,35.4
Bali,Ngurah Rai,23.5,26.8,33.3,23.3,26.9,32.1,23.4,27.4,33.7,22.8,27.4,32.9,20.0,27.3,34.0
Nusa Tenggara Barat,Bandara Int. Lombok,20.7,,32.5,17.4,25.8,34.2,20.8,28.3,35.2,20.5,,33.3,17.0,26.1,36.6
Nusa Tenggara Timur,Lasiana,20.5,27.0,33.5,17.6,27.2,37.2,21.5,27.5,34.2,20.0,27.4,33.5,21.7,27.5,33.3
Kalimantan Barat,Supadio,23.0,26.6,33.2,22.1,27.1,38.8,21.6,26.9,36.4,22.3,26.8,33.3,21.5,26.9,35.6
Kalimantan Tengah,Tjilik Riwut,,,,22.4,27.3,33.4,23.0,27.4,33.7,19.3,27.4,35.6,19.6,27.7,35.8
Kalimantan Selatan,Banjarbaru,20.4,27.1,36.0,20.0,26.6,35.8,20.6,26.7,36.8,20.0,26.8,37.0,19.1,27.0,38.0
Kalimantan Timur,Temindung,22.4,27.3,35.2,23.9,28.0,32.9,23.9,27.4,32.7,22.0,27.7,36.0,22.2,27.9,36.0
Kalimantan Utara,Tanjung Harapan,,,,,,,24.1,27.4,32.8,21.3,27.4,36.6,22.2,27.6,36.6
Sulawesi Utara,Kayuwatu,21.0,26.1,32.2,14.4,26.1,36.8,22.7,26.4,32.2,22.1,26.6,33.4,17.6,27.0,37.0
Sulawesi Tengah,Mutiara SIS Al-Jufrie,22.8,27.6,34.1,23.1,27.7,35.0,20.6,26.7,36.8,22.8,26.7,34.2,17.0,28.4,38.5
Sulawesi Selatan,Maros4,20.9,26.8,34.3,20.7,27.0,35.4,21.3,27.2,34.2,19.5,27.2,35.6,19.2,27.3,37.0
Sulawesi Tenggara,Kendari,22.0,,33.0,,,,22.3,27.0,33.3,20.7,26.8,33.1,17.8,26.9,35.4
Gorontalo,Djalaluddin,23.0,27.0,33.9,22.2,27.0,34.2,22.2,27.0,34.2,21.2,26.7,40.3,18.0,27.3,36.0
Sulawesi Barat,Majene,24.3,27.7,32.8,24.3,27.6,33.3,24.1,27.6,32.6,23.8,27.9,33.8,20.4,27.9,35.6
Maluku,Pattimura,21.9,26.6,31.4,23.1,26.4,32.4,,,,23.0,26.6,32.6,20.1,26.5,35.3
Maluku Utara,Sultan Babullah,23.9,26.9,31.6,,,,23.0,27.0,32.0,24.0,27.0,33.0,21.6,27.3,34.2
Papua Barat,Rendani,21.3,27.1,34.0,23.6,27.2,34.0,22.8,27.3,32.6,23.9,27.5,32.5,21.8,27.4,33.8
Papua,Angkasapura,23.3,27.1,32.9,23.5,27.0,32.8,25.3,27.9,31.7,23.4,28.1,33.3,20.9,27.8,35.6